pdf_name,table_query,note_number,located_title,row_order,row_type,row_level,parent_section,raw_item,normalized_item,canonical_item,mapping_status,column_ordinal,source_column_index,column_dimension_key,year,scope,restated,header_raw,value_raw,value,value_yuan,unit,original_unit,page,header_source_page,source_method
eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,7,DETAIL,0,,物业及公杂费,物业及公杂费,,UNMAPPED,3.0,4.0,2021|本公司|ORIGINAL,2021,本公司,False,本公司 | 2021,"25,468,489",25468489.0,,,,91,,spatial_roi+column_anchors
eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,8,DETAIL,0,,委托投资管理费,委托投资管理费,,UNMAPPED,0.0,1.0,2022|本集团|ORIGINAL,2022,本集团,False,本集团 | 2022,"19,733,902",19733902.0,,,,91,,spatial_roi+column_anchors
eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,8,DETAIL,0,,委托投资管理费,委托投资管理费,,UNMAPPED,1.0,2.0,2021|本集团|ORIGINAL,2021,本集团,False,本集团 | 2021,"28,164,036",28164036.0,,,,91,,spatial_roi+column_anchors
eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,8,DETAIL,0,,委托投资管理费,委托投资管理费,,UNMAPPED,2.0,3.0,2022|本公司|ORIGINAL,2022,本公司,False,本公司 | 2022,"114,456,877",114456877.0,,,,91,,spatial_roi+column_anchors
eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,8,DETAIL,0,,委托投资管理费,委托投资管理费,,UNMAPPED,3.0,4.0,2021|本公司|ORIGINAL,2021,本公司,False,本公司 | 2021,"121,681,028",121681028.0,,,,91,,spatial_roi+column_anchors
eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,9,DETAIL,0,,业务宣传费,业务宣传费,,UNMAPPED,0.0,1.0,2022|本集团|ORIGINAL,2022,本集团,False,本集团 | 2022,"16,874,749",16874749.0,,,,91,,spatial_roi+column_anchors
eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,9,DETAIL,0,,业务宣传费,业务宣传费,,UNMAPPED,1.0,2.0,2021|本集团|ORIGINAL,2021,本集团,False,本集团 | 2021,"28,298,546",28298546.0,,,,91,,spatial_roi+column_anchors
eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,9,DETAIL,0,,业务宣传费,业务宣传费,,UNMAPPED,2.0,3.0,2022|本公司|ORIGINAL,2022,本公司,False,本公司 | 2022,"16,868,537",16868537.0,,,,91,,spatial_roi+column_anchors
eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,9,DETAIL,0,,业务宣传费,业务宣传费,,UNMAPPED,3.0,4.0,2021|本公司|ORIGINAL,2021,本公司,False,本公司 | 2021,"28,298,546",28298546.0,,,,91,,spatial_roi+column_anchors
eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,10,DETAIL,0,,无形资产摊销,无形资产摊销,,UNMAPPED,0.0,1.0,2022|本集团|ORIGINAL,2022,本集团,False,本集团 | 2022,"16,677,074",16677074.0,,,,91,,spatial_roi+column_anchors
eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,10,DETAIL,0,,无形资产摊销,无形资产摊销,,UNMAPPED,1.0,2.0,2021|本集团|ORIGINAL,2021,本集团,False,本集团 | 2021,"14,015,707",14015707.0,,,,91,,spatial_roi+column_anchors
eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,10,DETAIL,0,,无形资产摊销,无形资产摊销,,UNMAPPED,2.0,3.0,2022|本公司|ORIGINAL,2022,本公司,False,本公司 | 2022,"14,803,172",14803172.0,,,,91,,spatial_roi+column_anchors
eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,10,DETAIL,0,,无形资产摊销,无形资产摊销,,UNMAPPED,3.0,4.0,2021|本公司|ORIGINAL,2021,本公司,False,本公司 | 2021,"12,743,792",12743792.0,,,,91,,spatial_roi+column_anchors
eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,11,DETAIL,0,,业务招待费,业务招待费,,UNMAPPED,0.0,1.0,2022|本集团|ORIGINAL,2022,本集团,False,本集团 | 2022,"15,801,956",15801956.0,,,,91,,spatial_roi+column_anchors
eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,11,DETAIL,0,,业务招待费,业务招待费,,UNMAPPED,1.0,2.0,2021|本集团|ORIGINAL,2021,本集团,False,本集团 | 2021,"25,419,815",25419815.0,,,,91,,spatial_roi+column_anchors
eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,11,DETAIL,0,,业务招待费,业务招待费,,UNMAPPED,2.0,3.0,2022|本公司|ORIGINAL,2022,本公司,False,本公司 | 2022,"15,720,140",15720140.0,,,,91,,spatial_roi+column_anchors
eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,11,DETAIL,0,,业务招待费,业务招待费,,UNMAPPED,3.0,4.0,2021|本公司|ORIGINAL,2021,本公司,False,本公司 | 2021,"25,236,194",25236194.0,,,,91,,spatial_roi+column_anchors
eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,12,DETAIL,0,,培训费,培训费,,UNMAPPED,0.0,1.0,2022|本集团|ORIGINAL,2022,本集团,False,本集团 | 2022,"15,238,883",15238883.0,,,,91,,spatial_roi+column_anchors
eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,12,DETAIL,0,,培训费,培训费,,UNMAPPED,1.0,2.0,2021|本集团|ORIGINAL,2021,本集团,False,本集团 | 2021,"16,509,113",16509113.0,,,,91,,spatial_roi+column_anchors
eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,12,DETAIL,0,,培训费,培训费,,UNMAPPED,2.0,3.0,2022|本公司|ORIGINAL,2022,本公司,False,本公司 | 2022,"15,238,883",15238883.0,,,,91,,spatial_roi+column_anchors
eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,12,DETAIL,0,,培训费,培训费,,UNMAPPED,3.0,4.0,2021|本公司|ORIGINAL,2021,本公司,False,本公司 | 2021,"16,509,113",16509113.0,,,,91,,spatial_roi+column_anchors
eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,13,DETAIL,0,,会议费,会议费,,UNMAPPED,0.0,1.0,2022|本集团|ORIGINAL,2022,本集团,False,本集团 | 2022,"10,339,761",10339761.0,,,,91,,spatial_roi+column_anchors
eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,13,DETAIL,0,,会议费,会议费,,UNMAPPED,1.0,2.0,2021|本集团|ORIGINAL,2021,本集团,False,本集团 | 2021,"12,373,546",12373546.0,,,,91,,spatial_roi+column_anchors
eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,13,DETAIL,0,,会议费,会议费,,UNMAPPED,2.0,3.0,2022|本公司|ORIGINAL,2022,本公司,False,本公司 | 2022,"9,859,761",9859761.0,,,,91,,spatial_roi+column_anchors
eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,13,DETAIL,0,,会议费,会议费,,UNMAPPED,3.0,4.0,2021|本公司|ORIGINAL,2021,本公司,False,本公司 | 2021,"11,881,681",11881681.0,,,,91,,spatial_roi+column_anchors
eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,14,DETAIL,0,,软件维护修理费,软件维护修理费,,UNMAPPED,0.0,1.0,2022|本集团|ORIGINAL,2022,本集团,False,本集团 | 2022,"9,508,847",9508847.0,,,,91,,spatial_roi+column_anchors
eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,14,DETAIL,0,,软件维护修理费,软件维护修理费,,UNMAPPED,1.0,2.0,2021|本集团|ORIGINAL,2021,本集团,False,本集团 | 2021,"8,019,790",8019790.0,,,,91,,spatial_roi+column_anchors
eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,14,DETAIL,0,,软件维护修理费,软件维护修理费,,UNMAPPED,2.0,3.0,2022|本公司|ORIGINAL,2022,本公司,False,本公司 | 2022,"8,938,145",8938145.0,,,,91,,spatial_roi+column_anchors
eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,14,DETAIL,0,,软件维护修理费,软件维护修理费,,UNMAPPED,3.0,4.0,2021|本公司|ORIGINAL,2021,本公司,False,本公司 | 2021,"7,720,870",7720870.0,,,,91,,spatial_roi+column_anchors
eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,15,DETAIL,0,,邮电费,邮电费,,UNMAPPED,0.0,1.0,2022|本集团|ORIGINAL,2022,本集团,False,本集团 | 2022,"8,559,527",8559527.0,,,,91,,spatial_roi+column_anchors
eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,15,DETAIL,0,,邮电费,邮电费,,UNMAPPED,1.0,2.0,2021|本集团|ORIGINAL,2021,本集团,False,本集团 | 2021,"8,898,089",8898089.0,,,,91,,spatial_roi+column_anchors
eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,15,DETAIL,0,,邮电费,邮电费,,UNMAPPED,2.0,3.0,2022|本公司|ORIGINAL,2022,本公司,False,本公司 | 2022,"8,559,527",8559527.0,,,,91,,spatial_roi+column_anchors
eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,15,DETAIL,0,,邮电费,邮电费,,UNMAPPED,3.0,4.0,2021|本公司|ORIGINAL,2021,本公司,False,本公司 | 2021,"8,898,089",8898089.0,,,,91,,spatial_roi+column_anchors
eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,16,DETAIL,0,,工会经费和职工教育经费,工会经费和职工教育经费,,UNMAPPED,0.0,1.0,2022|本集团|ORIGINAL,2022,本集团,False,本集团 | 2022,"8,139,837",8139837.0,,,,91,,spatial_roi+column_anchors
eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,16,DETAIL,0,,工会经费和职工教育经费,工会经费和职工教育经费,,UNMAPPED,1.0,2.0,2021|本集团|ORIGINAL,2021,本集团,False,本集团 | 2021,"7,453,815",7453815.0,,,,91,,spatial_roi+column_anchors
eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,16,DETAIL,0,,工会经费和职工教育经费,工会经费和职工教育经费,,UNMAPPED,2.0,3.0,2022|本公司|ORIGINAL,2022,本公司,False,本公司 | 2022,"7,227,635",7227635.0,,,,91,,spatial_roi+column_anchors
eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,16,DETAIL,0,,工会经费和职工教育经费,工会经费和职工教育经费,,UNMAPPED,3.0,4.0,2021|本公司|ORIGINAL,2021,本公司,False,本公司 | 2021,"6,442,205",6442205.0,,,,91,,spatial_roi+column_anchors
eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,17,DETAIL,0,,长期摊销费用,长期摊销费用,,UNMAPPED,0.0,1.0,2022|本集团|ORIGINAL,2022,本集团,False,本集团 | 2022,"7,905,396",7905396.0,,,,91,,spatial_roi+column_anchors
eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,17,DETAIL,0,,长期摊销费用,长期摊销费用,,UNMAPPED,1.0,2.0,2021|本集团|ORIGINAL,2021,本集团,False,本集团 | 2021,"7,201,878",7201878.0,,,,91,,spatial_roi+column_anchors
eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,17,DETAIL,0,,长期摊销费用,长期摊销费用,,UNMAPPED,2.0,3.0,2022|本公司|ORIGINAL,2022,本公司,False,本公司 | 2022,"7,905,396",7905396.0,,,,91,,spatial_roi+column_anchors
eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,17,DETAIL,0,,长期摊销费用,长期摊销费用,,UNMAPPED,3.0,4.0,2021|本公司|ORIGINAL,2021,本公司,False,本公司 | 2021,"6,602,067",6602067.0,,,,91,,spatial_roi+column_anchors
eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,18,DETAIL,0,,固定资产折旧,固定资产折旧,,UNMAPPED,0.0,1.0,2022|本集团|ORIGINAL,2022,本集团,False,本集团 | 2022,"7,096,977",7096977.0,,,,91,,spatial_roi+column_anchors
eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,18,DETAIL,0,,固定资产折旧,固定资产折旧,,UNMAPPED,1.0,2.0,2021|本集团|ORIGINAL,2021,本集团,False,本集团 | 2021,"7,501,736",7501736.0,,,,91,,spatial_roi+column_anchors
eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,18,DETAIL,0,,固定资产折旧,固定资产折旧,,UNMAPPED,2.0,3.0,2022|本公司|ORIGINAL,2022,本公司,False,本公司 | 2022,"6,585,788",6585788.0,,,,91,,spatial_roi+column_anchors
eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,18,DETAIL,0,,固定资产折旧,固定资产折旧,,UNMAPPED,3.0,4.0,2021|本公司|ORIGINAL,2021,本公司,False,本公司 | 2021,"6,895,387",6895387.0,,,,91,,spatial_roi+column_anchors
eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,19,DETAIL,0,,差旅费,差旅费,,UNMAPPED,0.0,1.0,2022|本集团|ORIGINAL,2022,本集团,False,本集团 | 2022,"5,994,930",5994930.0,,,,91,,spatial_roi+column_anchors
eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,19,DETAIL,0,,差旅费,差旅费,,UNMAPPED,1.0,2.0,2021|本集团|ORIGINAL,2021,本集团,False,本集团 | 2021,"10,403,769",10403769.0,,,,91,,spatial_roi+column_anchors
eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,19,DETAIL,0,,差旅费,差旅费,,UNMAPPED,2.0,3.0,2022|本公司|ORIGINAL,2022,本公司,False,本公司 | 2022,"5,716,214",5716214.0,,,,91,,spatial_roi+column_anchors
eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,19,DETAIL,0,,差旅费,差旅费,,UNMAPPED,3.0,4.0,2021|本公司|ORIGINAL,2021,本公司,False,本公司 | 2021,"9,674,125",9674125.0,,,,91,,spatial_roi+column_anchors
