canonical_order,canonical_key,row_type,row_level,canonical_section,parent_section,canonical_item,order_source,reference_capture_run_id,reference_row_order,metadata_source_capture_run_id
40,CANON::业务及管理费::按费用项目::营销培训费,DETAIL,0,按费用项目,nan,营销培训费,INSERTED_FROM:中银三星2022年报__业务及管理费__20260722T090304,中银三星2025年报__业务及管理费__20260722T090230,,中银三星2022年报__业务及管理费__20260722T090304
41,CANON::业务及管理费::按费用项目::无形资产摊销,DETAIL,0,按费用项目,nan,无形资产摊销,INSERTED_FROM:中银三星2022年报__业务及管理费__20260722T090304,中银三星2025年报__业务及管理费__20260722T090230,,中银三星2022年报__业务及管理费__20260722T090304
42,CANON::业务及管理费::按费用项目::业务招待费,DETAIL,0,按费用项目,nan,业务招待费,INSERTED_FROM:中银三星2022年报__业务及管理费__20260722T090304,中银三星2025年报__业务及管理费__20260722T090230,,中银三星2022年报__业务及管理费__20260722T090304
43,CANON::业务及管理费::按费用项目::长期待摊费用摊销,DETAIL,0,按费用项目,nan,长期待摊费用摊销,INSERTED_FROM:中银三星2022年报__业务及管理费__20260722T090304,中银三星2025年报__业务及管理费__20260722T090230,,中银三星2022年报__业务及管理费__20260722T090304
44,CANON::业务及管理费::按费用项目::固定资产折旧费,DETAIL,0,按费用项目,nan,固定资产折旧费,INSERTED_FROM:中银三星2022年报__业务及管理费__20260722T090304,中银三星2025年报__业务及管理费__20260722T090230,,中银三星2022年报__业务及管理费__20260722T090304
45,CANON::业务及管理费::按费用项目::邮电费,DETAIL,0,按费用项目,nan,邮电费,INSERTED_FROM:中银三星2022年报__业务及管理费__20260722T090304,中银三星2025年报__业务及管理费__20260722T090230,,中银三星2022年报__业务及管理费__20260722T090304
46,CANON::业务及管理费::按费用项目::公杂费,DETAIL,0,按费用项目,nan,公杂费,INSERTED_FROM:中银三星2022年报__业务及管理费__20260722T090304,中银三星2025年报__业务及管理费__20260722T090230,,中银三星2022年报__业务及管理费__20260722T090304
47,CANON::业务及管理费::按费用项目::会议费,DETAIL,0,按费用项目,nan,会议费,INSERTED_FROM:中银三星2022年报__业务及管理费__20260722T090304,中银三星2025年报__业务及管理费__20260722T090230,,中银三星2022年报__业务及管理费__20260722T090304
48,CANON::业务及管理费::按费用项目::咨询费,DETAIL,0,按费用项目,nan,咨询费,INSERTED_FROM:中银三星2022年报__业务及管理费__20260722T090304,中银三星2025年报__业务及管理费__20260722T090230,,中银三星2022年报__业务及管理费__20260722T090304
49,CANON::业务及管理费::按费用项目::研究费用,DETAIL,0,按费用项目,nan,研究费用,INSERTED_FROM:中银三星2022年报__业务及管理费__20260722T090304,中银三星2025年报__业务及管理费__20260722T090230,,中银三星2022年报__业务及管理费__20260722T090304
50,CANON::业务及管理费::按费用项目::差旅费,DETAIL,0,按费用项目,nan,差旅费,INSERTED_FROM:中银三星2022年报__业务及管理费__20260722T090304,中银三星2025年报__业务及管理费__20260722T090230,,中银三星2022年报__业务及管理费__20260722T090304
51,CANON::业务及管理费::按费用项目::其他费用,DETAIL,0,按费用项目,nan,其他费用,INSERTED_FROM:中银三星2022年报__业务及管理费__20260722T090304,中银三星2025年报__业务及管理费__20260722T090230,,中银三星2022年报__业务及管理费__20260722T090304
52,CANON::业务及管理费::按费用项目::合计,TOTAL,0,按费用项目,nan,合计,INSERTED_FROM:中银三星2022年报__业务及管理费__20260722T090304,中银三星2025年报__业务及管理费__20260722T090230,,中银三星2022年报__业务及管理费__20260722T090304
53,"RAW::业务及管理费::::95,417,113.41元，本年抵扣的进项税为2,991,195.08元。",SECTION_HEADER,0,,nan,"95,417,113.41元，本年抵扣的进项税为2,991,195.08元。",INSERTED_FROM:中银三星2024年报__43_业务及管理费__20260722T090819,中银三星2025年报__业务及管理费__20260722T090230,,中银三星2024年报__43_业务及管理费__20260722T090819
