canonical_order,row_type,row_level,parent_section,canonical_section,canonical_item,unit,canonical_key,order_source,中银三星 | 2022 | 2021.0,中银三星 | 2022 | 2022.0,中银三星 | 2023 | 2022.0 | 本公司,中银三星 | 2023 | 2023.0 | 本集团,中银三星 | 2024 | 2023.0 | 本集团,中银三星 | 2024 | 2024.0 | 本集团,中银三星 | 2025 | 2024.0 | 本公司 | 已重述,中银三星 | 2025 | 2024.0 | 本集团 | 已重述,中银三星 | 2025 | 2025.0 | 本公司,中银三星 | 2025 | 2025.0 | 本集团
40,DETAIL,0,nan,按费用项目,营销培训费,元,CANON::业务及管理费::按费用项目::营销培训费,INSERTED_FROM:中银三星2022年报__业务及管理费__20260722T090304,16670148.39,20641852.75,20641852.75,34710649.94,34710649.94,78331657.09,,,,
41,DETAIL,0,nan,按费用项目,无形资产摊销,元,CANON::业务及管理费::按费用项目::无形资产摊销,INSERTED_FROM:中银三星2022年报__业务及管理费__20260722T090304,14609593.72,19575301.07,19575301.07,26016594.7,26016594.7,26587466.27,,,,
42,DETAIL,0,nan,按费用项目,业务招待费,元,CANON::业务及管理费::按费用项目::业务招待费,INSERTED_FROM:中银三星2022年报__业务及管理费__20260722T090304,11147563.4,13100801.7,13100801.7,12891076.05,12891076.05,16554321.39,,,,
43,DETAIL,0,nan,按费用项目,长期待摊费用摊销,元,CANON::业务及管理费::按费用项目::长期待摊费用摊销,INSERTED_FROM:中银三星2022年报__业务及管理费__20260722T090304,7898733.6,11758841.33,11758841.33,15117997.14,15117997.14,12290583.05,,,,
44,DETAIL,0,nan,按费用项目,固定资产折旧费,元,CANON::业务及管理费::按费用项目::固定资产折旧费,INSERTED_FROM:中银三星2022年报__业务及管理费__20260722T090304,9604231.0,11290659.29,11290659.29,14858412.44,14858412.44,16001821.05,,,,
45,DETAIL,0,nan,按费用项目,邮电费,元,CANON::业务及管理费::按费用项目::邮电费,INSERTED_FROM:中银三星2022年报__业务及管理费__20260722T090304,8131419.55,10104387.96,10104387.96,11239583.9,11239583.9,12270314.61,,,,
46,DETAIL,0,nan,按费用项目,公杂费,元,CANON::业务及管理费::按费用项目::公杂费,INSERTED_FROM:中银三星2022年报__业务及管理费__20260722T090304,4072876.71,4864077.44,4864077.44,4306634.16,4306634.16,2729721.46,,,,
47,DETAIL,0,nan,按费用项目,会议费,元,CANON::业务及管理费::按费用项目::会议费,INSERTED_FROM:中银三星2022年报__业务及管理费__20260722T090304,3641588.81,4535473.5,4535473.5,5964049.45,5964049.45,10972890.68,,,,
48,DETAIL,0,nan,按费用项目,咨询费,元,CANON::业务及管理费::按费用项目::咨询费,INSERTED_FROM:中银三星2022年报__业务及管理费__20260722T090304,5135930.02,3810258.07,3810258.07,3504346.81,3504346.81,6139190.97,,,,
49,DETAIL,0,nan,按费用项目,研究费用,元,CANON::业务及管理费::按费用项目::研究费用,INSERTED_FROM:中银三星2022年报__业务及管理费__20260722T090304,2204555.84,3542227.68,3542227.68,10417714.24,10417714.24,29046956.67,,,,
50,DETAIL,0,nan,按费用项目,差旅费,元,CANON::业务及管理费::按费用项目::差旅费,INSERTED_FROM:中银三星2022年报__业务及管理费__20260722T090304,5064163.8,3398704.75,3398704.75,9205112.12,9205112.12,13083127.89,,,,
51,DETAIL,0,nan,按费用项目,其他费用,元,CANON::业务及管理费::按费用项目::其他费用,INSERTED_FROM:中银三星2022年报__业务及管理费__20260722T090304,70740382.51,92539265.17,92539265.17,91716513.07,91716513.07,98354123.13,,,,
52,TOTAL,0,nan,按费用项目,合计,元,CANON::业务及管理费::按费用项目::合计,INSERTED_FROM:中银三星2022年报__业务及管理费__20260722T090304,769267289.95,931844715.63,931844715.63,1012715660.27,1012715660.27,1129207562.13,,,,
