row_order,row_type,parent_section,raw_item,normalized_item,unit,2023,2024
73,DETAIL,处置固定资产、无形资产和其他长期,经营性应付项目的增加/(减少),经营性应付项目的增加/(减少),元,-20776377293.0,-36034127695.0
74,DETAIL,处置固定资产、无形资产和其他长期,经营活动产生的现金流量净额,经营活动产生的现金流量净额,元,-2163902964.0,-4331536032.0
75,DETAIL,处置固定资产、无形资产和其他长期,101现金的年末余额,101现金的年末余额,元,6395299635.0,6999163241.0
76,DETAIL,处置固定资产、无形资产和其他长期,减：现金的年初余额,减：现金的年初余额,元,5957724911.0,6395299635.0
77,DETAIL,处置固定资产、无形资产和其他长期,现金等价物的年末余额,现金等价物的年末余额,元,15138094833.0,16126972411.0
78,DETAIL,处置固定资产、无形资产和其他长期,减：现金等价物的年初余额,减：现金等价物的年初余额,元,18317495315.0,15138094833.0
79,DETAIL,处置固定资产、无形资产和其他长期,现金及现金等价物净(减少)/增加额,现金及现金等价物净(减少)/增加额,元,-2741825758.0,1592741184.0
82,DETAIL,经营租赁承诺-作为承租人,租赁负债利息费用,租赁负债利息费用,元,9606004.0,5244908.0
84,DETAIL,计入当期损益的采用简化处理的,短期租赁费用,短期租赁费用,元,20686253.0,10514717.0
85,DETAIL,计入当期损益的采用简化处理的,与租赁相关的总现金流出,与租赁相关的总现金流出,元,131175789.0,93225533.0
96,DETAIL,八、分部报告（续）,"利息收入4,541,477,3267,865,986","利息收入4,541,477,3267,865,986",元,,2.2149798373629e+16
97,DETAIL,八、分部报告（续）,"投资收益1,876,029,045(6,014,621)","投资收益1,876,029,045(6,014,621)",元,,3.130716625920527e+16
98,DETAIL,八、分部报告（续）,"其他收益12,648,7851,706,367","其他收益12,648,7851,706,367",元,-21104826.0,6244677504997.0
100,DETAIL,八、分部报告（续）,"汇兑损益1,298,5801,697","汇兑损益1,298,5801,697",元,-1300277.0,
101,DETAIL,八、分部报告（续）,"其他业务收入79,018,050384,701","其他业务收入79,018,050384,701",元,,7.89851355309165e+16
102,DETAIL,八、分部报告（续）,"资产处置损益5,124(95,080)","资产处置损益5,124(95,080)",元,-224065.0,
104,DETAIL,八、分部报告（续）,"分出保费的分摊64,478,155(58,739,789)","分出保费的分摊64,478,155(58,739,789)",元,-5738366.0,
106,DETAIL,减：摊回保险服,"务费用129,375,25544,053,055","务费用129,375,25544,053,055",元,-173428310.0,
107,DETAIL,减：摊回保险服,"承保财务损失(9,474,544,833)(6,416,069)","承保财务损失(9,474,544,833)(6,416,069)",元,-9480960902.0,
109,DETAIL,减：分出再保险,"财务收益455,679,9341,710,778","财务收益455,679,9341,710,778",元,-457390712.0,
110,DETAIL,减：分出再保险,"利息支出(685,792,985)(528,873)","利息支出(685,792,985)(528,873)",元,,-30980704.0
111,DETAIL,减：分出再保险,"税金及附加(54,434,896)(2,340,010)","税金及附加(54,434,896)(2,340,010)",元,-98615445.0,
113,DETAIL,减：分出再保险,"信用减值损失(380,152,758)645,763","信用减值损失(380,152,758)645,763",元,,60376857830914.0
117,DETAIL,减：分出再保险,"加：营业外收入1,069,0413,646,618","加：营业外收入1,069,0413,646,618",元,,-23188193.0
118,DETAIL,减：分出再保险,"减：营业外支出(1,261,122)(650,001)","减：营业外支出(1,261,122)(650,001)",元,-2298147.0,
119,DETAIL,减：分出再保险,"利润总额3,252,663,86512,962,159","利润总额3,252,663,86512,962,159",元,,4.232334572141826e+16
120,DETAIL,减：分出再保险,"资产总额312,548,770,5101,208,299,953","资产总额312,548,770,5101,208,299,953",元,,2.0503543109454426e+19
121,DETAIL,减：分出再保险,"负债总额308,262,406,380749,906,404","负债总额308,262,406,380749,906,404",元,,6.863305237269635e+18
123,DETAIL,补充资料,"资本性支出372,708,8538,759,738","资本性支出372,708,8538,759,738",元,-479626809.0,2760763870550580.0
124,DETAIL,补充资料,"折旧和摊销费用465,151,08026,142,163","折旧和摊销费用465,151,08026,142,163",元,-609427078.0,4717726470956571.0
131,DETAIL,八、分部报告（续）,"利息收入4,724,553,5677,705,824","利息收入4,724,553,5677,705,824",元,,3.27048824722223e+16
132,DETAIL,八、分部报告（续）,"投资收益2,640,893,58529,232,043","投资收益2,640,893,58529,232,043",元,7.601442227524675e+17,
133,DETAIL,八、分部报告（续）,"其他收益6,065,7241,139,108","其他收益6,065,7241,139,108",元,,85819062727235.0
134,DETAIL,八、分部报告（续）,"公允价值变动损益213,681,503(15,548,452)","公允价值变动损益213,681,503(15,548,452)",元,,6584513208713398.0
135,DETAIL,八、分部报告（续）,"汇兑损益1,454,4949,759","汇兑损益1,454,4949,759",元,-1464253.0,
136,DETAIL,八、分部报告（续）,"其他业务收入34,941,612392,192","其他业务收入34,941,612392,192",元,,7.519424361053508e+17
137,DETAIL,八、分部报告（续）,"资产处置收益2,290(186,332)","资产处置收益2,290(186,332)",元,-216364.0,
138,DETAIL,八、分部报告（续）,"营业总收入13,640,893,937589,164,602","营业总收入13,640,893,937589,164,602",元,,8.363758477587468e+17
140,DETAIL,八、分部报告（续）,"分出保费的分摊(406,031,152)(55,731,563)","分出保费的分摊(406,031,152)(55,731,563)",元,-461762715.0,
142,DETAIL,减：摊回保险服务,"费用87,630,07427,276,685","费用87,630,07427,276,685",元,-114906759.0,
143,DETAIL,减：摊回保险服务,"承保财务损失(7,769,300,993)(5,227,870)","承保财务损失(7,769,300,993)(5,227,870)",元,-7774528863.0,
145,DETAIL,减：分出再保险财,"务收益419,815,6741,413,208","务收益419,815,6741,413,208",元,-421228882.0,
146,DETAIL,减：分出再保险财,"利息支出(651,941,543)(705,980)","利息支出(651,941,543)(705,980)",元,,-14433313.0
148,DETAIL,手续费及佣金,"支出(576,429)-","支出(576,429)-",元,-576429.0,
149,DETAIL,手续费及佣金,"税金及附加(60,685,575)(2,454,640)","税金及附加(60,685,575)(2,454,640)",元,-100006439.0,
151,DETAIL,手续费及佣金,"信用减值损失(540,982,795)(1,584,052)","信用减值损失(540,982,795)(1,584,052)",元,-466409430.0,13907876018339.0
154,DETAIL,手续费及佣金,"营业利润(2,603,132,413)(14,322,235)","营业利润(2,603,132,413)(14,322,235)",元,,3815407815090009.0
155,DETAIL,手续费及佣金,"加：营业外收入6,070,0644,184,869","加：营业外收入6,070,0644,184,869",元,-10269315.0,48919491.0
156,DETAIL,手续费及佣金,"减：营业外支出(1,943,011)(360,002)","减：营业外支出(1,943,011)(360,002)",元,-2979409.0,
157,DETAIL,手续费及佣金,"利润总额(2,599,005,360)(10,497,368)","利润总额(2,599,005,360)(10,497,368)",元,,3813258964642880.0
158,DETAIL,手续费及佣金,"-资产总额288,008,425,3451,725,570,829","-资产总额288,008,425,3451,725,570,829",元,,1.1051618208696992e+19
159,DETAIL,手续费及佣金,"负债总额281,675,227,611435,606,648","负债总额281,675,227,611435,606,648",元,,6.566017036478015e+18
160,DETAIL,手续费及佣金,"补充资料：-资本性支出556,517,46817,583,466","补充资料：-资本性支出556,517,46817,583,466",元,-756594592.0,3.0931031151562628e+16
161,DETAIL,手续费及佣金,"折旧和摊销费用337,353,97527,504,767","折旧和摊销费用337,353,97527,504,767",元,-484004254.0,5275059366394919.0
