row_order,row_type,parent_section,raw_item,normalized_item,unit,2024,2025
132,DETAIL,减：分出再保险,"利息支出(840,530,083)(106,861)","利息支出(840,530,083)(106,861)",元,,-36415554.0
133,DETAIL,减：分出再保险,"税金及附加(54,096,587)(1,831,102)","税金及附加(54,096,587)(1,831,102)",元,-80804677.0,
135,DETAIL,减：分出再保险,"信用减值损失(498,799,828)(167,950)","信用减值损失(498,799,828)(167,950)",元,-498141293.0,
140,DETAIL,减：分出再保险,"加：营业外收入4,714,25912,465","加：营业外收入4,714,25912,465",元,-5359726.0,-633002.0
141,DETAIL,减：分出再保险,"减：营业外支出(14,935,367)(639,028)","减：营业外支出(14,935,367)(639,028)",元,-20585583.0,
143,DETAIL,减：分出再保险,"资产总额332,913,565,8171,401,427,438","资产总额332,913,565,8171,401,427,438",元,,1.9981721548560167e+19
144,DETAIL,减：分出再保险,"负债总额326,895,520,395912,899,567","负债总额326,895,520,395912,899,567",元,,6.542184546260052e+18
146,DETAIL,补充资料,"资本性支出318,743,54013,974,136","资本性支出318,743,54013,974,136",元,-443234874.0,4333169867185500.0
147,DETAIL,补充资料,"折旧和摊销费用532,506,03020,563,278","折旧和摊销费用532,506,03020,563,278",元,-663759355.0,3233877578351272.0
154,DETAIL,七、分部报告（续）,"利息收入4,541,477,3267,865,986","利息收入4,541,477,3267,865,986",元,,2.2149798373629e+16
155,DETAIL,七、分部报告（续）,"投资收益1,876,029,045(6,014,621)","投资收益1,876,029,045(6,014,621)",元,,3.130716625920527e+16
156,DETAIL,七、分部报告（续）,"其他收益12,648,7851,706,367","其他收益12,648,7851,706,367",元,-21104826.0,6244677504997.0
158,DETAIL,七、分部报告（续）,"汇兑损益1,298,5801,697","汇兑损益1,298,5801,697",元,-1300277.0,
159,DETAIL,七、分部报告（续）,"其他业务收入79,018,050384,701","其他业务收入79,018,050384,701",元,,7.89851355309165e+16
160,DETAIL,七、分部报告（续）,"资产处置损益5,124(95,080)","资产处置损益5,124(95,080)",元,-224065.0,
162,DETAIL,七、分部报告（续）,"分出保费的分摊64,478,155(58,739,789)","分出保费的分摊64,478,155(58,739,789)",元,-5738366.0,
164,DETAIL,减：摊回保险服,"务费用129,375,25544,053,055","务费用129,375,25544,053,055",元,-173428310.0,
165,DETAIL,减：摊回保险服,"承保财务损失(9,474,544,833)(6,416,069)","承保财务损失(9,474,544,833)(6,416,069)",元,-9480960902.0,
167,DETAIL,减：分出再保险,"财务收益455,679,9341,710,778","财务收益455,679,9341,710,778",元,-457390712.0,
168,DETAIL,减：分出再保险,"利息支出(685,792,985)(528,873)","利息支出(685,792,985)(528,873)",元,,-30980704.0
169,DETAIL,减：分出再保险,"税金及附加(54,434,896)(2,340,010)","税金及附加(54,434,896)(2,340,010)",元,-98615445.0,
171,DETAIL,减：分出再保险,"信用减值损失(380,152,758)645,763","信用减值损失(380,152,758)645,763",元,,60376857830914.0
175,DETAIL,减：分出再保险,"加：营业外收入1,069,0413,646,618","加：营业外收入1,069,0413,646,618",元,,-23188193.0
176,DETAIL,减：分出再保险,"减：营业外支出(1,261,122)(650,001)","减：营业外支出(1,261,122)(650,001)",元,-2298147.0,
177,DETAIL,减：分出再保险,"利润总额3,252,663,86512,962,159","利润总额3,252,663,86512,962,159",元,,4.232334572141826e+16
178,DETAIL,减：分出再保险,"资产总额312,548,770,5101,208,299,953","资产总额312,548,770,5101,208,299,953",元,,2.0503543109454426e+19
179,DETAIL,减：分出再保险,"负债总额308,262,406,380749,906,404","负债总额308,262,406,380749,906,404",元,,6.863305237269635e+18
181,DETAIL,补充资料,"资本性支出372,708,8538,759,738","资本性支出372,708,8538,759,738",元,-479626809.0,2760763870550580.0
182,DETAIL,补充资料,"折旧和摊销费用465,151,08026,142,163","折旧和摊销费用465,151,08026,142,163",元,-609427078.0,4717726470956571.0
