capture_run_id,company,document_year,table_id,pdf_name,table_query,note_number,located_title,row_order,row_type,row_level,parent_section,raw_item,normalized_item,capture_canonical_item,capture_mapping_status,year,scope,restated,header_raw,value_raw,value,value_yuan,unit,original_unit,page,header_source_page,source_method,source_key,canonical_section,canonical_item,category,mapping_status,mapping_note,canonical_key,canonical_order,row_type_order,row_level_order,parent_section_order,order_source,reference_capture_run_id,reference_row_order
农银人寿2022年报__业务及管理费__20260721T161445,农银人寿,2022,业务及管理费,4a62c9b2936b_农银人寿2022年报.pdf,业务及管理费,,"合计 (21,900.60) (10,610.51)36. 业务及管理费",12,DETAIL,0,,其他,其他,,UNMAPPED,2021.0,,False,2021.0,"103,903.67",103903.67,,,,106,,spatial_roi+column_anchors,||其他,,其他,,AUTO_EXACT_IDENTITY,,CANON::业务及管理费::::其他,13,DETAIL,0,nan,REFERENCE:农银人寿2022年报__业务及管理费__20260721T161445,农银人寿2022年报__业务及管理费__20260721T161445,12.0
农银人寿2022年报__业务及管理费__20260721T161445,农银人寿,2022,业务及管理费,4a62c9b2936b_农银人寿2022年报.pdf,业务及管理费,,"合计 (21,900.60) (10,610.51)36. 业务及管理费",13,TOTAL,0,,合计,合计,,UNMAPPED,2022.0,,False,2022.0,"1,898,516.20",1898516.2,,,,106,,spatial_roi+column_anchors,||合计,,合计,,AUTO_EXACT_IDENTITY,,CANON::业务及管理费::::合计,14,TOTAL,0,nan,REFERENCE:农银人寿2022年报__业务及管理费__20260721T161445,农银人寿2022年报__业务及管理费__20260721T161445,13.0
农银人寿2022年报__业务及管理费__20260721T161445,农银人寿,2022,业务及管理费,4a62c9b2936b_农银人寿2022年报.pdf,业务及管理费,,"合计 (21,900.60) (10,610.51)36. 业务及管理费",13,TOTAL,0,,合计,合计,,UNMAPPED,2021.0,,False,2021.0,"1,824,153.54",1824153.54,,,,106,,spatial_roi+column_anchors,||合计,,合计,,AUTO_EXACT_IDENTITY,,CANON::业务及管理费::::合计,14,TOTAL,0,nan,REFERENCE:农银人寿2022年报__业务及管理费__20260721T161445,农银人寿2022年报__业务及管理费__20260721T161445,13.0
农银人寿2023年报__业务及管理费__20260721T161604,农银人寿,2023,业务及管理费,3f737be00412_农银人寿2023年报.pdf,业务及管理费,,"合计 (15,714.27) (21,900.60)37. 业务及管理费",1,DETAIL,0,,职工薪酬,职工薪酬,,UNMAPPED,2023.0,,False,2023.0,"993,802.50",993802.5,,,,106,,spatial_roi+column_anchors,||职工薪酬,,职工薪酬,,AUTO_EXACT_IDENTITY,,CANON::业务及管理费::::职工薪酬,1,DETAIL,0,nan,REFERENCE:农银人寿2022年报__业务及管理费__20260721T161445,农银人寿2022年报__业务及管理费__20260721T161445,1.0
农银人寿2023年报__业务及管理费__20260721T161604,农银人寿,2023,业务及管理费,3f737be00412_农银人寿2023年报.pdf,业务及管理费,,"合计 (15,714.27) (21,900.60)37. 业务及管理费",1,DETAIL,0,,职工薪酬,职工薪酬,,UNMAPPED,2022.0,,False,2022.0,"967,078.47",967078.47,,,,106,,spatial_roi+column_anchors,||职工薪酬,,职工薪酬,,AUTO_EXACT_IDENTITY,,CANON::业务及管理费::::职工薪酬,1,DETAIL,0,nan,REFERENCE:农银人寿2022年报__业务及管理费__20260721T161445,农银人寿2022年报__业务及管理费__20260721T161445,1.0
农银人寿2023年报__业务及管理费__20260721T161604,农银人寿,2023,业务及管理费,3f737be00412_农银人寿2023年报.pdf,业务及管理费,,"合计 (15,714.27) (21,900.60)37. 业务及管理费",2,DETAIL,0,,社会保险费和住房公积金,社会保险费和住房公积金,,UNMAPPED,2023.0,,False,2023.0,"293,189.24",293189.24,,,,106,,spatial_roi+column_anchors,||社会保险费和住房公积金,,社会保险费和住房公积金,,UNMAPPED_PRESERVED,,RAW::业务及管理费::::社会保险费和住房公积金,3,DETAIL,0,nan,INSERTED_FROM:农银人寿2023年报__业务及管理费__20260721T161604,农银人寿2022年报__业务及管理费__20260721T161445,
农银人寿2023年报__业务及管理费__20260721T161604,农银人寿,2023,业务及管理费,3f737be00412_农银人寿2023年报.pdf,业务及管理费,,"合计 (15,714.27) (21,900.60)37. 业务及管理费",2,DETAIL,0,,社会保险费和住房公积金,社会保险费和住房公积金,,UNMAPPED,2022.0,,False,2022.0,"293,919.25",293919.25,,,,106,,spatial_roi+column_anchors,||社会保险费和住房公积金,,社会保险费和住房公积金,,UNMAPPED_PRESERVED,,RAW::业务及管理费::::社会保险费和住房公积金,3,DETAIL,0,nan,INSERTED_FROM:农银人寿2023年报__业务及管理费__20260721T161604,农银人寿2022年报__业务及管理费__20260721T161445,
农银人寿2023年报__业务及管理费__20260721T161604,农银人寿,2023,业务及管理费,3f737be00412_农银人寿2023年报.pdf,业务及管理费,,"合计 (15,714.27) (21,900.60)37. 业务及管理费",3,DETAIL,0,,折旧和摊销费,折旧和摊销费,,UNMAPPED,2023.0,,False,2023.0,"203,068.18",203068.18,,,,106,,spatial_roi+column_anchors,||折旧和摊销费,,折旧和摊销费,,AUTO_EXACT_IDENTITY,,CANON::业务及管理费::::折旧和摊销费,4,DETAIL,0,nan,REFERENCE:农银人寿2022年报__业务及管理费__20260721T161445,农银人寿2022年报__业务及管理费__20260721T161445,3.0
农银人寿2023年报__业务及管理费__20260721T161604,农银人寿,2023,业务及管理费,3f737be00412_农银人寿2023年报.pdf,业务及管理费,,"合计 (15,714.27) (21,900.60)37. 业务及管理费",3,DETAIL,0,,折旧和摊销费,折旧和摊销费,,UNMAPPED,2022.0,,False,2022.0,"231,361.65",231361.65,,,,106,,spatial_roi+column_anchors,||折旧和摊销费,,折旧和摊销费,,AUTO_EXACT_IDENTITY,,CANON::业务及管理费::::折旧和摊销费,4,DETAIL,0,nan,REFERENCE:农银人寿2022年报__业务及管理费__20260721T161445,农银人寿2022年报__业务及管理费__20260721T161445,3.0
农银人寿2023年报__业务及管理费__20260721T161604,农银人寿,2023,业务及管理费,3f737be00412_农银人寿2023年报.pdf,业务及管理费,,"合计 (15,714.27) (21,900.60)37. 业务及管理费",4,DETAIL,0,,行政办公支出,行政办公支出,,UNMAPPED,2023.0,,False,2023.0,"149,446.87",149446.87,,,,106,,spatial_roi+column_anchors,||行政办公支出,,行政办公支出,,AUTO_EXACT_IDENTITY,,CANON::业务及管理费::::行政办公支出,5,DETAIL,0,nan,REFERENCE:农银人寿2022年报__业务及管理费__20260721T161445,农银人寿2022年报__业务及管理费__20260721T161445,4.0
