table_id,canonical_key,canonical_section,canonical_item,company,document_year,year,scope,restated,unit,source_count,mapping_status,conflict_status,final_value,source_rows
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::印刷费,,印刷费,建信人寿,2022,2022.0,,False,,1,AUTO_EXACT_IDENTITY,OK,6616015.0,建信人寿2022年报__业务及管理费__20260721T155348:p144:印刷费
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::印刷费,,印刷费,建信人寿,2022,2021.0,,False,,1,AUTO_EXACT_IDENTITY,OK,9563143.0,建信人寿2022年报__业务及管理费__20260721T155348:p144:印刷费
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::银行结算费,,银行结算费,建信人寿,2022,2022.0,,False,,1,AUTO_EXACT_IDENTITY,OK,5543677.0,建信人寿2022年报__业务及管理费__20260721T155348:p144:银行结算费
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::银行结算费,,银行结算费,建信人寿,2022,2021.0,,False,,1,AUTO_EXACT_IDENTITY,OK,5520049.0,建信人寿2022年报__业务及管理费__20260721T155348:p144:银行结算费
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::会议费,,会议费,建信人寿,2022,2022.0,,False,,1,AUTO_EXACT_IDENTITY,OK,4444698.0,建信人寿2022年报__业务及管理费__20260721T155348:p144:会议费
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::会议费,,会议费,建信人寿,2022,2021.0,,False,,1,AUTO_EXACT_IDENTITY,OK,8414574.0,建信人寿2022年报__业务及管理费__20260721T155348:p144:会议费
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::其他税费,,其他税费,建信人寿,2022,2022.0,,False,,1,AUTO_EXACT_IDENTITY,OK,1016349.0,建信人寿2022年报__业务及管理费__20260721T155348:p144:其他税费
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::其他税费,,其他税费,建信人寿,2022,2021.0,,False,,1,AUTO_EXACT_IDENTITY,OK,1919606.0,建信人寿2022年报__业务及管理费__20260721T155348:p144:其他税费
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::其他,,其他,建信人寿,2022,2022.0,,False,,1,AUTO_EXACT_IDENTITY,OK,148325734.0,建信人寿2022年报__业务及管理费__20260721T155348:p144:其他
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::其他,,其他,建信人寿,2022,2021.0,,False,,1,AUTO_EXACT_IDENTITY,OK,155521296.0,建信人寿2022年报__业务及管理费__20260721T155348:p144:其他
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::合计,,合计,建信人寿,2022,2022.0,,False,,1,AUTO_EXACT_IDENTITY,OK,2924045972.0,建信人寿2022年报__业务及管理费__20260721T155348:p144:合计
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::合计,,合计,建信人寿,2022,2021.0,,False,,1,AUTO_EXACT_IDENTITY,OK,2943418668.0,建信人寿2022年报__业务及管理费__20260721T155348:p144:合计
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::工资及福利费,,工资及福利费,建信人寿,2023,2023.0,,False,元,1,AUTO_EXACT_IDENTITY,OK,1679050597.0,建信人寿2023年报__业务及管理费__20260721T155259:p143:工资及福利费
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::工资及福利费,,工资及福利费,建信人寿,2023,2022.0,,False,元,1,AUTO_EXACT_IDENTITY,OK,1788536878.0,建信人寿2023年报__业务及管理费__20260721T155259:p143:工资及福利费
